fitness,r,K,s,u,v,functionCalls 
0.0348774,1.32641,1.02381,0.521915,0.672789,1.53217,257541 
0.0330997,1.25382,0.968128,0.463142,0.747811,1.70068,44400 
0.034304,1.3128,1.00335,0.505663,0.693588,1.5837,571654 
0.0349343,1.32698,1.02384,0.522128,0.672738,1.53111,275892 
0.0337571,1.32317,1.0127,0.515579,0.681096,1.55888,259465 
